row	alpha	branch	matrix
2402	(W+w^w)	T0	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,0)(4,3,1)(5,3,1)(6,0,0)
2403	(W+w^w^w)	T0	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,0)(4,3,1)(5,3,1)(6,0,0)(7,0,0)
2404	(W+psi(W))	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,0)(4,3,1)(5,3,1)(6,0,0)(7,1,0)
2405	(W+psi(W_w)	T2	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,0)(4,3,1)(5,3,1)(6,0,0)(7,1,1)
2406	(W+psi(W_W)	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,0)(4,3,1)(5,3,1)(6,0,0)(7,1,1)(8,1,1)(9,1,0)
2407	(W2)	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,0)(4,3,1)(5,3,1)(6,1,0)
2421	(W2+1)	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,0)(4,3,1)(5,3,1)(6,1,0)(5,3,0)(6,4,0)
2424	(W2+2)	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,0)(4,3,1)(5,3,1)(6,1,0)(5,3,0)(6,4,0)(7,5,0)
2425	(W2+w)	T2	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,0)(4,3,1)(5,3,1)(6,1,0)(5,3,0)(6,4,1)
2426	(W2+w2)	T2	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,0)(4,3,1)(5,3,1)(6,1,0)(5,3,0)(6,4,1)(7,4,0)(8,5,1)
2427	(W2+w^2)	T2	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,0)(4,3,1)(5,3,1)(6,1,0)(5,3,0)(6,4,1)(7,4,1)
2428	(W2+w^w)	T0	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,0)(4,3,1)(5,3,1)(6,1,0)(5,3,0)(6,4,1)(7,4,1)(8,0,0)
2429	(W3)	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,0)(4,3,1)(5,3,1)(6,1,0)(5,3,0)(6,4,1)(7,4,1)(8,1,0)
2430	(W3+1)	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,0)(4,3,1)(5,3,1)(6,1,0)(5,3,0)(6,4,1)(7,4,1)(8,1,0)(7,4,0)(8,5,0)
2431	(W3+w)	T2	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,0)(4,3,1)(5,3,1)(6,1,0)(5,3,0)(6,4,1)(7,4,1)(8,1,0)(7,4,0)(8,5,1)
2432	(W4)	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,0)(4,3,1)(5,3,1)(6,1,0)(5,3,0)(6,4,1)(7,4,1)(8,1,0)(7,4,0)(8,5,1)(9,5,1)(10,1,0)
2433	(W5)	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,0)(4,3,1)(5,3,1)(6,1,0)(5,3,0)(6,4,1)(7,4,1)(8,1,0)(7,4,0)(8,5,1)(9,5,1)(10,1,0)(9,5,0)(10,6,1)(11,6,1)(12,1,0)
2434	(W*w)	T2	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,1)
2485	(W*w+1)	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,1)(3,2,0)(4,3,0)
2488	(W*w+2)	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,1)(3,2,0)(4,3,0)(5,4,0)
2489	(W*w+w)	T2	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,1)(3,2,0)(4,3,1)
2490	(W*w+w^2)	T2	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,1)(3,2,0)(4,3,1)(5,3,1)
2491	(W*w+w^w)	T0	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,1)(3,2,0)(4,3,1)(5,3,1)(6,0,0)
2492	(W*w+W)	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,1)(3,2,0)(4,3,1)(5,3,1)(6,1,0)
2497	(W*w+W+1)	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,1)(3,2,0)(4,3,1)(5,3,1)(6,1,0)(5,3,0)(6,4,0)
2498	(W*w+W+w)	T2	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,1)(3,2,0)(4,3,1)(5,3,1)(6,1,0)(5,3,0)(6,4,1)
2499	(W*w+W2)	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,1)(3,2,0)(4,3,1)(5,3,1)(6,1,0)(5,3,0)(6,4,1)(7,4,1)(8,1,0)
2500	(W*w2)	T2	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,1)(3,2,0)(4,3,1)(5,3,1)(6,1,0)(5,3,1)
2501	(W*w3)	T2	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,1)(3,2,0)(4,3,1)(5,3,1)(6,1,0)(5,3,1)(5,3,0)(6,4,1)(7,4,1)(8,1,0)(7,4,1)
2502	(W*w^2)	T2	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,1)(3,2,1)
2503	(W*w^2*2)	T2	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,1)(3,2,1)(3,2,0)(4,3,1)(5,3,1)(6,1,0)(5,3,1)(5,3,1)
2504	(W*w^3)	T2	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,1)(3,2,1)(3,2,1)
2505	(W*w^w)	T0	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,1)(4,0,0)
2506	(W*psi(W))	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,1)(4,0,0)(5,1,0)
2507	(W*psi(W_w))	T2	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,1)(4,0,0)(5,1,1)
2508	(W^2)	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,1)(4,1,0)
2513	(W^2+1)	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,1)(4,1,0)(3,2,0)(4,3,0)
2514	(W^2+2)	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,1)(4,1,0)(3,2,0)(4,3,0)(5,4,0)
2515	(W^2+w)	T2	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,1)(4,1,0)(3,2,0)(4,3,1)
2516	(W^2+w^2)	T2	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,1)(4,1,0)(3,2,0)(4,3,1)(5,3,1)
2517	(W^2+W)	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,1)(4,1,0)(3,2,0)(4,3,1)(5,3,1)(6,1,0)
2518	(W^2+W+1)	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,1)(4,1,0)(3,2,0)(4,3,1)(5,3,1)(6,1,0)(5,3,0)(6,4,0)
2519	(W^2+W+w)	T2	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,1)(4,1,0)(3,2,0)(4,3,1)(5,3,1)(6,1,0)(5,3,0)(6,4,1)
2520	(W^2+W2)	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,1)(4,1,0)(3,2,0)(4,3,1)(5,3,1)(6,1,0)(5,3,0)(6,4,1)(7,4,1)(8,1,0)
2521	(W^2+W*w)	T2	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,1)(4,1,0)(3,2,0)(4,3,1)(5,3,1)(6,1,0)(5,3,1)
2522	(W^2+W*w^2)	T2	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,1)(4,1,0)(3,2,0)(4,3,1)(5,3,1)(6,1,0)(5,3,1)(5,3,1)
2523	(W^2*2)	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,1)(4,1,0)(3,2,0)(4,3,1)(5,3,1)(6,1,0)(5,3,1)(6,1,0)
2524	(W^2*w)	T2	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,1)(4,1,0)(3,2,1)
2525	(W^2*w^2)	T2	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,1)(4,1,0)(3,2,1)(3,2,1)
2526	(W^2*w^w)	T0	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,1)(4,1,0)(3,2,1)(4,0,0)
2527	(W^3)	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,1)(4,1,0)(3,2,1)(4,1,0)
2528	(W^3*w)	T2	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,1)(4,1,0)(3,2,1)(4,1,0)(3,2,1)
2529	(W^4)	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(3,2,1)(4,1,0)(3,2,1)(4,1,0)(3,2,1)(4,1,0)
2530	(W^w)	T0	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(4,0,0)
2531	(W^w*w)	T2	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(4,0,0)(3,2,1)
2532	(W^(W+1))	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(4,0,0)(3,2,1)(4,1,0)
2533	(W^(w2))	T0	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(4,0,0)(3,2,1)(4,1,0)(4,0,0)
2534	(W^w^2)	T0	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(4,0,0)(4,0,0)
2535	(W^w^w)	T0	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(4,0,0)(5,0,0)
2536	(W^W)	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(4,1,0)
2537	(W^W*w)	T2	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(4,1,0)(3,2,1)
2538	(W^(W+1))	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(4,1,0)(3,2,1)(4,1,0)
2539	(W^(W2))	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(4,1,0)(3,2,1)(4,1,0)(4,1,0)
2540	(W^W^2)	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(4,1,0)(4,1,0)
2541	(W^W^W)	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(5,1,0)
2542	(W^W^W^W)	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(5,1,0)(6,1,0)
2543	psi_1(W_2)	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(5,2,0)
2544	psi_1(W_2*2)	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(5,2,0)(5,2,0)
2545	psi_1(W_2*W)	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(5,2,0)(6,1,0)
2546	psi_1(W_2^2)	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(5,2,0)(6,2,0)
2547	psi_1(W_2^W_2)	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(5,2,0)(6,2,0)(7,2,0)
2548	psi_1(W_3)	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(5,2,0)(6,3,0)
2549	psi_1(W_4)	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(5,2,0)(6,3,0)(7,4,0)
2550	psi_1(W_w)	T2	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(5,2,1)
2551	psi_1(W_w*W_2)	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(5,2,1)(6,2,0)
2552	psi_1(W_w^2)	T2	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(5,2,1)(6,2,0)(5,2,1)
2553	psi_1(W_(w+1))	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(5,2,1)(6,2,0)(7,3,0)
2554	psi_1(W_(w2))	T2	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(5,2,1)(6,2,0)(7,3,1)
2555	psi_1(W_(w^2))	T2	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(5,2,1)(6,2,1)
2556	psi_1(W_(w^w))	T0	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(5,2,1)(6,2,1)(7,0,0)
2557	psi_1(W_W)	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(5,2,1)(6,2,1)(7,1,0)
2558	psi_1(W_(W*w))	T2	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(5,2,1)(6,2,1)(7,1,0)(6,2,1)
2559	psi_1(W_(W^W))	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(5,2,1)(6,2,1)(7,1,0)(7,1,0)
2560	psi_1(W_psi_1(W_2))	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(5,2,1)(6,2,1)(7,1,0)(8,2,0)
2561	psi_1(W_psi_1(W_W))	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,1,0)(5,2,1)(6,2,1)(7,1,0)(8,2,1)(9,2,1)(10,1,0)
2562	W_2	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,2,0)
2674	(W_2+1)	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,2,0)(2,2,0)(3,3,1)(4,3,1)(5,2,0)(4,3,0)(5,4,0)
2694	(W_2+2)	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,2,0)(2,2,0)(3,3,1)(4,3,1)(5,2,0)(4,3,0)(5,4,0)(6,5,0)
2697	(W_2+3)	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,2,0)(2,2,0)(3,3,1)(4,3,1)(5,2,0)(4,3,0)(5,4,0)(6,5,0)(7,6,0)
2698	(W_2+w)	T2	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,2,0)(2,2,0)(3,3,1)(4,3,1)(5,2,0)(4,3,0)(5,4,1)
2701	(W_2+w+1)	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,2,0)(2,2,0)(3,3,1)(4,3,1)(5,2,0)(4,3,0)(5,4,1)(6,4,0)(7,5,0)
2702	(W_2+w2)	T2	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,2,0)(2,2,0)(3,3,1)(4,3,1)(5,2,0)(4,3,0)(5,4,1)(6,4,0)(7,5,1)
2703	(W_2+w^2)	T2	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,2,0)(2,2,0)(3,3,1)(4,3,1)(5,2,0)(4,3,0)(5,4,1)(6,4,1)
2704	(W_2+w^w)	T0	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,2,0)(2,2,0)(3,3,1)(4,3,1)(5,2,0)(4,3,0)(5,4,1)(6,4,1)(7,0,0)
2705	(W_2+W)	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,2,0)(2,2,0)(3,3,1)(4,3,1)(5,2,0)(4,3,0)(5,4,1)(6,4,1)(7,1,0)
2708	(W_2+W+1)	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,2,0)(2,2,0)(3,3,1)(4,3,1)(5,2,0)(4,3,0)(5,4,1)(6,4,1)(7,1,0)(6,4,0)(7,5,0)
2709	(W_2+W+w)	T2	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,2,0)(2,2,0)(3,3,1)(4,3,1)(5,2,0)(4,3,0)(5,4,1)(6,4,1)(7,1,0)(6,4,0)(7,5,1)
2710	(W_2+W+w^2)	T2	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,2,0)(2,2,0)(3,3,1)(4,3,1)(5,2,0)(4,3,0)(5,4,1)(6,4,1)(7,1,0)(6,4,0)(7,5,1)(8,5,1)
2711	(W_2+W2)	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,2,0)(2,2,0)(3,3,1)(4,3,1)(5,2,0)(4,3,0)(5,4,1)(6,4,1)(7,1,0)(6,4,0)(7,5,1)(8,5,1)(9,1,0)
2712	(W_2+W*w)	T2	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,2,0)(2,2,0)(3,3,1)(4,3,1)(5,2,0)(4,3,0)(5,4,1)(6,4,1)(7,1,0)(6,4,1)
2713	(W_2+W*w^w)	T0	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,2,0)(2,2,0)(3,3,1)(4,3,1)(5,2,0)(4,3,0)(5,4,1)(6,4,1)(7,1,0)(6,4,1)(7,0,0)
2714	(W_2+W^2)	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,2,0)(2,2,0)(3,3,1)(4,3,1)(5,2,0)(4,3,0)(5,4,1)(6,4,1)(7,1,0)(6,4,1)(7,1,0)
2715	(W_2+W^W)	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,2,0)(2,2,0)(3,3,1)(4,3,1)(5,2,0)(4,3,0)(5,4,1)(6,4,1)(7,1,0)(7,1,0)
2716	(W_2+psi_1(W_2))	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,2,0)(2,2,0)(3,3,1)(4,3,1)(5,2,0)(4,3,0)(5,4,1)(6,4,1)(7,1,0)(8,2,0)
2717	(W_2+psi_1(W_w))	T2	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,2,0)(2,2,0)(3,3,1)(4,3,1)(5,2,0)(4,3,0)(5,4,1)(6,4,1)(7,1,0)(8,2,1)
2718	(W_2*2)	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,2,0)(2,2,0)(3,3,1)(4,3,1)(5,2,0)(4,3,0)(5,4,1)(6,4,1)(7,2,0)
2721	(W_2*2+1)	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,2,0)(2,2,0)(3,3,1)(4,3,1)(5,2,0)(4,3,0)(5,4,1)(6,4,1)(7,2,0)(6,4,0)(7,5,0)
2722	(W_2*2+w)	T2	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,2,0)(2,2,0)(3,3,1)(4,3,1)(5,2,0)(4,3,0)(5,4,1)(6,4,1)(7,2,0)(6,4,0)(7,5,1)
2723	(W_2*2+W)	T2	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,2,0)(2,2,0)(3,3,1)(4,3,1)(5,2,0)(4,3,0)(5,4,1)(6,4,1)(7,2,0)(6,4,0)(7,5,1)(8,5,1)
2724	(W_2*2+W)	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,2,0)(2,2,0)(3,3,1)(4,3,1)(5,2,0)(4,3,0)(5,4,1)(6,4,1)(7,2,0)(6,4,0)(7,5,1)(8,5,1)(9,1,0)
2725	(W_2*3)	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,2,0)(2,2,0)(3,3,1)(4,3,1)(5,2,0)(4,3,0)(5,4,1)(6,4,1)(7,2,0)(6,4,0)(7,5,1)(8,5,1)(9,2,0)
2726	(W_2*w)	T2	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,2,0)(2,2,0)(3,3,1)(4,3,1)(5,2,0)(4,3,1)
2739	(W_2*w+1)	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,2,0)(2,2,0)(3,3,1)(4,3,1)(5,2,0)(4,3,1)(4,3,0)(5,4,0)
2740	(W_2*w+w)	T2	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,2,0)(2,2,0)(3,3,1)(4,3,1)(5,2,0)(4,3,1)(4,3,0)(5,4,1)
2741	(W_2*w+w^2)	T2	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,2,0)(2,2,0)(3,3,1)(4,3,1)(5,2,0)(4,3,1)(4,3,0)(5,4,1)(6,4,1)
2742	(W_2*w+W)	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,2,0)(2,2,0)(3,3,1)(4,3,1)(5,2,0)(4,3,1)(4,3,0)(5,4,1)(6,4,1)(7,1,0)
2743	(W_2*w+W_2)	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,2,0)(2,2,0)(3,3,1)(4,3,1)(5,2,0)(4,3,1)(4,3,0)(5,4,1)(6,4,1)(7,2,0)
2744	(W_2*w2)	T2	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,2,0)(2,2,0)(3,3,1)(4,3,1)(5,2,0)(4,3,1)(4,3,0)(5,4,1)(6,4,1)(7,2,0)(6,4,1)
2745	(W_2*w^2)	T2	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,2,0)(2,2,0)(3,3,1)(4,3,1)(5,2,0)(4,3,1)(4,3,1)
2746	(W_2*w^w)	T0	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,2,0)(2,2,0)(3,3,1)(4,3,1)(5,2,0)(4,3,1)(5,0,0)
2747	(W_2*W)	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,2,0)(2,2,0)(3,3,1)(4,3,1)(5,2,0)(4,3,1)(5,1,0)
2748	(W_2*W+1)	T1	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,2,0)(2,2,0)(3,3,1)(4,3,1)(5,2,0)(4,3,1)(5,1,0)(4,3,0)(5,4,0)
2749	(W_2*W+w)	T2	(0,0,0)(1,1,1)(2,1,1)(3,1,0)(1,1,0)(2,2,1)(3,2,1)(4,2,0)(2,2,0)(3,3,1)(4,3,1)(5,2,0)(4,3,1)(5,1,0)(4,3,0)(5,4,1)
