row	alpha	branch	matrix
1925	(w^2*2+w+1)	T1	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,0)(5,3,1)(6,3,0)(7,4,0)
1927	(w^2*2+w+2)	T1	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,0)(5,3,1)(6,3,0)(7,4,0)(8,5,0)
1928	(w^2*2+w2)	T2	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,0)(5,3,1)(6,3,0)(7,4,1)
1929	(w^2*2+w3)	T2	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,0)(5,3,1)(6,3,0)(7,4,1)(8,4,0)(9,5,1)
1930	(w^2*3)	T2	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,0)(5,3,1)(6,3,1)
1939	(w^2*3+1)	T1	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,0)(5,3,1)(6,3,1)(6,3,0)(7,4,0)
1940	(w^2*3+2)	T1	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,0)(5,3,1)(6,3,1)(6,3,0)(7,4,0)(8,5,0)
1941	(w^2*3+w)	T2	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,0)(5,3,1)(6,3,1)(6,3,0)(7,4,1)
1942	(w^2*3+w2)	T2	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,0)(5,3,1)(6,3,1)(6,3,0)(7,4,1)(8,4,0)(9,5,1)
1943	(w^2*4)	T2	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,0)(5,3,1)(6,3,1)(6,3,0)(7,4,1)(8,4,1)
1944	(w^2*4+1)	T1	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,0)(5,3,1)(6,3,1)(6,3,0)(7,4,1)(8,4,1)(8,4,0)(9,5,0)
1945	(w^2*4+w)	T2	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,0)(5,3,1)(6,3,1)(6,3,0)(7,4,1)(8,4,1)(8,4,0)(9,5,1)
1946	(w^2*5)	T2	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,0)(5,3,1)(6,3,1)(6,3,0)(7,4,1)(8,4,1)(8,4,0)(9,5,1)(10,5,1)
1947	(w^2*6)	T2	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,0)(5,3,1)(6,3,1)(6,3,0)(7,4,1)(8,4,1)(8,4,0)(9,5,1)(10,5,1)(10,5,0)(11,5,1)(12,6,1)
1948	(w^3)	T2	(0,0,0)(1,1,1)(2,1,1)(2,1,1)
2022	(w^3+1)	T1	(0,0,0)(1,1,1)(2,1,1)(2,1,1)(2,1,0)(3,2,0)
2040	(w^3+2)	T1	(0,0,0)(1,1,1)(2,1,1)(2,1,1)(2,1,0)(3,2,0)(4,3,0)
2041	(w^3+3)	T1	(0,0,0)(1,1,1)(2,1,1)(2,1,1)(2,1,0)(3,2,0)(4,3,0)(5,4,0)
2042	(w^3+w)	T2	(0,0,0)(1,1,1)(2,1,1)(2,1,1)(2,1,0)(3,2,1)
2049	(w^3+w+1)	T1	(0,0,0)(1,1,1)(2,1,1)(2,1,1)(2,1,0)(3,2,1)(4,2,0)(5,3,0)
2050	(w^3+w+2)	T1	(0,0,0)(1,1,1)(2,1,1)(2,1,1)(2,1,0)(3,2,1)(4,2,0)(5,3,0)(6,4,0)
2051	(w^3+w2)	T2	(0,0,0)(1,1,1)(2,1,1)(2,1,1)(2,1,0)(3,2,1)(4,2,0)(5,3,1)
2052	(w^3+w3)	T2	(0,0,0)(1,1,1)(2,1,1)(2,1,1)(2,1,0)(3,2,1)(4,2,0)(5,3,1)(6,3,0)(7,4,1)
2053	(w^3+w^2)	T2	(0,0,0)(1,1,1)(2,1,1)(2,1,1)(2,1,0)(3,2,1)(4,2,1)
2062	(w^3+w^2+1)	T1	(0,0,0)(1,1,1)(2,1,1)(2,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,0)(5,3,0)
2063	(w^3+w^2+2)	T1	(0,0,0)(1,1,1)(2,1,1)(2,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,0)(5,3,0)(6,4,0)
2064	(w^3+w^2+w)	T2	(0,0,0)(1,1,1)(2,1,1)(2,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,0)(5,3,1)
2065	(w^3+w^2+w2)	T2	(0,0,0)(1,1,1)(2,1,1)(2,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,0)(5,3,1)(6,3,0)(7,4,1)
2066	(w^3+w^2*2)	T2	(0,0,0)(1,1,1)(2,1,1)(2,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,0)(5,3,1)(6,3,1)
2067	(w^3+w^2*3)	T2	(0,0,0)(1,1,1)(2,1,1)(2,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,0)(5,3,1)(6,3,1)(6,3,0)(7,4,1)(8,4,1)
2068	(w^3*2)	T2	(0,0,0)(1,1,1)(2,1,1)(2,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,1)
2078	(w^3*2+1)	T1	(0,0,0)(1,1,1)(2,1,1)(2,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,1)(4,2,0)(5,3,0)
2079	(w^3*2+2)	T1	(0,0,0)(1,1,1)(2,1,1)(2,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,1)(4,2,0)(5,3,0)(6,4,0)
2080	(w^3*2+w)	T2	(0,0,0)(1,1,1)(2,1,1)(2,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,1)(4,2,0)(5,3,1)
2081	(w^3*2+w2)	T2	(0,0,0)(1,1,1)(2,1,1)(2,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,1)(4,2,0)(5,3,1)(6,3,0)(7,4,1)
2082	(w^3*2+w^2)	T2	(0,0,0)(1,1,1)(2,1,1)(2,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,1)(4,2,0)(5,3,1)(6,3,1)
2083	(w^3*2+w^2*2)	T2	(0,0,0)(1,1,1)(2,1,1)(2,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,1)(4,2,0)(5,3,1)(6,3,1)(6,3,0)(7,4,1)(8,4,1)
2084	(w^3*3)	T2	(0,0,0)(1,1,1)(2,1,1)(2,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,1)(4,2,0)(5,3,1)(6,3,1)(6,3,1)
