row	matrix	label_orig	label_norm	fix
1593	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,1,0)(1,1,1)	psi(W_(w^2)^W_w)	psi(W_(w^2)^W_w)	
1594	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,1,0)(1,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,0)(5,1,0)(1,1,1)	psi(W_(w^2)^W_w+psi_W_(w+1)(W_(w^2)^W_w))	psi(W_(w^2)^W_w+psi_W_(w+1)(W_(w^2)^W_w))	
1595	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,1,0)(1,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,0)(5,1,0)(3,2,0)	psi(W_(w^2)^W_w+W_(w+1))	psi(W_(w^2)^W_w+W_(w+1))	
1596	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,1,0)(1,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,0)(5,1,0)(3,2,1)	psi(W_(w^2)^W_w+W_(w2))	psi(W_(w^2)^W_w+W_(w2))	
1597	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,1,0)(1,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,0)(5,1,0)(3,2,1)(4,2,1)	psi(W_(w^2)^W_w+W_(w^2))	psi(W_(w^2)^W_w+W_(w^2))	
1598	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,1,0)(1,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,0)(5,1,0)(3,2,1)(4,2,1)(4,2,0)(5,1,0)	psi(W_(w^2)^W_w+W_(w^2)^W)	psi(W_(w^2)^W_w+W_(w^2)^W)	
1599	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,1,0)(1,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,0)(5,1,0)(3,2,1)(4,2,1)(4,2,0)(5,1,0)(1,1,1)	psi(W_(w^2)^W_w*2)	psi(W_(w^2)^W_w*2)	
1600	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,1,0)(1,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,0)(5,1,0)(4,2,0)	psi(W_(w^2)^W_w*W_2)	psi(W_(w^2)^W_w*W_2)	
1601	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,1,0)(1,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,0)(5,1,0)(4,2,0)(3,2,1)	psi(W_(w^2)^W_w*W_w)	psi(W_(w^2)^W_w*W_w)	
1602	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,1,0)(1,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,0)(5,1,0)(4,2,0)(3,2,1)(4,2,1)	psi(W_(w^2)^(W_w+1))	psi(W_(w^2)^(W_w+1))	
1603	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,1,0)(1,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,0)(5,1,0)(4,2,0)(5,1,0)	psi(W_(w^2)^(W_w+W))	psi(W_(w^2)^(W_w+W))	
1604	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,1,0)(1,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,0)(5,1,0)(4,2,0)(5,1,0)(1,1,1)	psi(W_(w^2)^(W_w*2))	psi(W_(w^2)^(W_w*2))	
1605	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,1,0)(1,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,0)(5,1,0)(5,1,0)(1,1,1)	psi(W_(w^2)^W_w^2)	psi(W_(w^2)^W_w^2)	
1606	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,1,0)(1,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,0)(5,1,0)(6,2,1)(7,2,1)	psi(W_(w^2)^psi_W_(w+1)(W_(w^2)))	psi(W_(w^2)^psi_W_(w+1)(W_(w^2)))	
1607	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,1,0)(1,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,0)(5,2,0)	psi(W_(w^2)^W_(w+1))	psi(W_(w^2)^W_(w+1))	
1608	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,1,0)(1,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,0)(5,2,0)(3,2,0)(4,3,1)(5,3,1)(5,3,0)(6,2,0)	psi(W_(w^2)^W_(w+1)+psi_W_(w+2)(W_(w^2)^W_(w+1)))	psi(W_(w^2)^W_(w+1)+psi_W_(w+2)(W_(w^2)^W_(w+1)))	
1609	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,1,0)(1,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,0)(5,2,0)(3,2,0)(4,3,1)(5,3,1)(5,3,0)(6,2,0)(5,2,0)(4,3,1)(5,3,1)	psi(W_(w^2)^(W_(w+1)+1))	psi(W_(w^2)^(W_(w+1)+1))	
1610	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,1,0)(1,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,0)(5,2,0)(3,2,0)(4,3,1)(5,3,1)(5,3,0)(6,3,0)(6,2,0)	psi(W_(w^2)^W_(w+1)^2)	psi(W_(w^2)^W_(w+1)^2)	
1611	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,1,0)(1,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,0)(5,2,0)(3,2,0)(4,3,1)(5,3,1)(6,3,0)(6,3,0)	psi(W_(w^2)^W_(w+2))	psi(W_(w^2)^W_(w+2))	
1612	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,1,0)(1,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,0)(5,2,0)(3,2,1)	psi(W_(w^2)^W_(w2))	psi(W_(w^2)^W_(w2))	
1613	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,1,0)(1,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,0)(5,2,0)(3,2,1)(4,2,0)(5,3,1)(6,3,1)(6,3,0)(7,3,0)	psi(W_(w^2)^W_(w2+1))	psi(W_(w^2)^W_(w2+1))	
1614	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,1,0)(1,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,0)(5,2,0)(3,2,1)(4,2,0)(5,3,1)(6,3,1)(6,3,0)(7,3,0)(5,3,1)	psi(W_(w^2)^W_(w3))	psi(W_(w^2)^W_(w3))	
1615	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,1,0)(1,1,1)(2,1,1)	psi(W_(w^2)^W_(w^2))	psi(W_(w^2)^W_(w^2))	
1616	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,1,0)(1,1,1)(2,1,1)(1,1,1)	psi(W_(w^2)^W_(w^2)+W_w)	psi(W_(w^2)^W_(w^2)+W_w)	
1617	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,1,0)(1,1,1)(2,1,1)(1,1,1)(2,1,1)	psi(W_(w^2)^W_(w^2)+W_(w^2))	psi(W_(w^2)^W_(w^2)+W_(w^2))	
1618	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,1,0)(1,1,1)(2,1,1)(2,1,0)	psi(W_(w^2)^W_(w^2)+W_(w^2)*W)	psi(W_(w^2)^W_(w^2)+W_(w^2)*W)	
1619	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,1,0)(1,1,1)(2,1,1)(2,1,0)(1,1,1)(2,1,1)	psi(W_(w^2)^W_(w^2)+W_(w^2)^2)	psi(W_(w^2)^W_(w^2)+W_(w^2)^2)	
1620	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,1,0)(1,1,1)(2,1,1)(2,1,0)(3,0,0)	psi(W_(w^2)^W_(w^2)+W_(w^2)^w)	psi(W_(w^2)^W_(w^2)+W_(w^2)^w)	
1621	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,1,0)(1,1,1)(2,1,1)(2,1,0)(3,1,0)	psi(W_(w^2)^W_(w^2)+W_(w^2)^W)	psi(W_(w^2)^W_(w^2)+W_(w^2)^W)	
1622	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,1,0)(1,1,1)(2,1,1)(2,1,0)(3,1,0)(1,1,1)	psi(W_(w^2)^W_(w^2)+W_(w^2)^W_w)	psi(W_(w^2)^W_(w^2)+W_(w^2)^W_w)	
1623	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,1,0)(1,1,1)(2,1,1)(2,1,0)(3,1,0)(1,1,1)(2,1,1)	psi(W_(w^2)^W_(w^2)*2)	psi(W_(w^2)^W_(w^2)*2)	
1624	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,1,0)(2,1,0)	psi(W_(w^2)^W_(w^2)*W)	psi(W_(w^2)^W_(w^2)*W)	
1625	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,1,0)(2,1,0)(1,1,1)	psi(W_(w^2)^W_(w^2)*W_w)	psi(W_(w^2)^W_(w^2)*W_w)	
1626	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,1,0)(2,1,0)(1,1,1)(2,1,1)	psi(W_(w^2)^(W_(w^2)+1))	psi(W_(w^2)^(W_(w^2)+1))	
1627	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,1,0)(2,1,0)(2,1,0)(1,1,1)(2,1,1)	psi(W_(w^2)^(W_(w^2)+2))	psi(W_(w^2)^(W_(w^2)+2))	
1628	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,1,0)(2,1,0)(3,0,0)	psi(W_(w^2)^(W_(w^2)+w))	psi(W_(w^2)^(W_(w^2)+w))	
1629	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,1,0)(2,1,0)(3,1,0)	psi(W_(w^2)^(W_(w^2)+W))	psi(W_(w^2)^(W_(w^2)+W))	
1630	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,1,0)(2,1,0)(3,1,0)(1,1,1)	psi(W_(w^2)^(W_(w^2)+W_w))	psi(W_(w^2)^(W_(w^2)+W_w))	
1631	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,1,0)(2,1,0)(3,1,0)(1,1,1)(2,1,1)	psi(W_(w^2)^(W_(w^2)*2))	psi(W_(w^2)^(W_(w^2)*2))	
1632	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,1,0)(2,1,0)(3,1,0)(2,1,0)(1,1,1)(2,1,1)	psi(W_(w^2)^(W_(w^2)*2+1))	psi(W_(w^2)^(W_(w^2)*2+1))	
1633	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,1,0)(2,1,0)(3,1,0)(2,1,0)(3,1,0)(1,1,1)(2,1,1)	psi(W_(w^2)^(W_(w^2)*3))	psi(W_(w^2)^(W_(w^2)*3))	
1634	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,1,0)(3,0,0)	psi(W_(w^2)^(W_(w^2)*w))	psi(W_(w^2)^(W_(w^2)*w))	
1635	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,1,0)(3,1,0)	psi(W_(w^2)^(W_(w^2)*W))	psi(W_(w^2)^(W_(w^2)*W))	
1636	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,1,0)(3,1,0)(1,1,1)	psi(W_(w^2)^(W_(w^2)*W_w))	psi(W_(w^2)^(W_(w^2)*W_w))	
1637	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,1,0)(3,1,0)(1,1,1)(2,1,1)	psi(W_(w^2)^W_(w^2)^2)	psi(W_(w^2)^W_(w^2)^2)	
1638	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,1,0)(3,1,0)(2,1,0)(1,1,1)(2,1,1)	psi(W_(w^2)^(W_(w^2)^2+1))	psi(W_(w^2)^(W_(w^2)^2+1))	
1639	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,1,0)(3,1,0)(2,1,0)(3,1,0)(3,1,0)(1,1,1)(2,1,1)	psi(W_(w^2)^(W_(w^2)^2*2))	psi(W_(w^2)^(W_(w^2)^2*2))	
1640	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,1,0)(3,1,0)(3,1,0)(1,1,1)(2,1,1)	psi(W_(w^2)^W_(w^2)^3)	psi(W_(w^2)^W_(w^2)^3)	
1641	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,1,0)(4,0,0)	psi(W_(w^2)^W_(w^2)^w)	psi(W_(w^2)^W_(w^2)^w)	
1642	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,1,0)(4,1,0)	psi(W_(w^2)^W_(w^2)^W)	psi(W_(w^2)^W_(w^2)^W)	
1643	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,1,0)(4,1,0)(1,1,1)	psi(W_(w^2)^W_(w^2)^W_w)	psi(W_(w^2)^W_(w^2)^W_w)	
1644	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,1,0)(4,1,0)(1,1,1)(2,1,1)	psi(W_(w^2)^W_(w^2)^W_(w^2))	psi(W_(w^2)^W_(w^2)^W_(w^2))	
1645	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,1,0)(4,1,0)(4,1,0)(1,1,1)(2,1,1)	psi(W_(w^2)^W_(w^2)^W_(w^2)^2)	psi(W_(w^2)^W_(w^2)^W_(w^2)^2)	
1646	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,1,0)(4,1,0)(5,1,0)(1,1,1)(2,1,1)	psi(W_(w^2)^W_(w^2)^W_(w^2)^W_(w^2))	psi(W_(w^2)^W_(w^2)^W_(w^2)^W_(w^2))	
1647	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)	psi(W_(w^2+1))	psi(W_(w^2+1))	
1649	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)(1,1,0)	psi(W_(w^2+1)+W)	psi(W_(w^2+1)+W)	
1650	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)(1,1,0)(2,2,1)(3,2,1)(3,2,0)(4,3,0)(2,2,0)	psi(W_(w^2+1)+W_2)	psi(W_(w^2+1)+W_2)	
1651	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)(1,1,1)	psi(W_(w^2+1)+W_w)	psi(W_(w^2+1)+W_w)	
1652	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)(1,1,1)(2,1,0)(3,2,1)	psi(W_(w^2+1)+psi_W_(w+1)(W_(w2)))	psi(W_(w^2+1)+psi_W_(w+1)(W_(w2)))	
1653	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)(1,1,1)(2,1,0)(3,2,1)(4,2,1)	psi(W_(w^2+1)+psi_W_(w+1)(W_(w^2)))	psi(W_(w^2+1)+psi_W_(w+1)(W_(w^2)))	
1654	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)(1,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,0)(5,3,0)	psi(W_(w^2+1)+psi_W_(w+1)(W_(w^2+1)))	psi(W_(w^2+1)+psi_W_(w+1)(W_(w^2+1)))	
1655	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)(1,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,0)(5,3,0)(3,2,0)	psi(W_(w^2+1)+W_(w+1))	psi(W_(w^2+1)+W_(w+1))	
1656	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)(1,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,0)(5,3,0)(3,2,0)(4,3,1)(5,3,1)(5,3,0)(6,3,0)(4,3,0)	psi(W_(w^2+1)+W_(w+2))	psi(W_(w^2+1)+W_(w+2))	
1657	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)(1,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,0)(5,3,0)(3,2,1)	psi(W_(w^2+1)+W_(w2))	psi(W_(w^2+1)+W_(w2))	
1658	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)(1,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,0)(5,3,0)(3,2,1)(4,2,0)(5,3,1)(6,3,1)(6,3,0)(7,4,0)(5,3,1)	psi(W_(w^2+1)+W_(w3))	psi(W_(w^2+1)+W_(w3))	
1659	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)(1,1,1)(2,1,1)	psi(W_(w^2+1)+W_(w^2))	psi(W_(w^2+1)+W_(w^2))	
1660	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)(1,1,1)(2,1,1)(1,1,1)(2,1,1)	psi(W_(w^2+1)+W_(w^2)*2)	psi(W_(w^2+1)+W_(w^2)*2)	
1661	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)(1,1,1)(2,1,1)(2,1,0)	psi(W_(w^2+1)+W_(w^2)*W)	psi(W_(w^2+1)+W_(w^2)*W)	
1662	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)(1,1,1)(2,1,1)(2,1,0)(1,1,1)(2,1,1)	psi(W_(w^2+1)+W_(w^2)^2)	psi(W_(w^2+1)+W_(w^2)^2)	
1663	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)(1,1,1)(2,1,1)(2,1,0)(2,1,0)(1,1,1)(2,1,1)	psi(W_(w^2+1)+W_(w^2)^3)	psi(W_(w^2+1)+W_(w^2)^3)	
1664	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)(1,1,1)(2,1,1)(2,1,0)(3,1,0)(1,1,1)(2,1,1)	psi(W_(w^2+1)+W_(w^2)^W_(w^2))	psi(W_(w^2+1)+W_(w^2)^W_(w^2))	
1665	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)	psi(W_(w^2+1)+psi_W_(w^2+1)(W_(w^2+1)))	psi(W_(w^2+1)+psi_W_(w^2+1)(W_(w^2+1)))	
1666	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)(2,0,0)	psi(W_(w^2+1)+psi_W_(w^2+1)(W_(w^2+1))*w)	psi(W_(w^2+1)+psi_W_(w^2+1)(W_(w^2+1))*w)	
1667	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)(2,1,0)	psi(W_(w^2+1)+psi_W_(w^2+1)(W_(w^2+1))*W)	psi(W_(w^2+1)+psi_W_(w^2+1)(W_(w^2+1))*W)	
1668	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)(2,1,0)(1,1,1)	psi(W_(w^2+1)+psi_W_(w^2+1)(W_(w^2+1))*W_w)	psi(W_(w^2+1)+psi_W_(w^2+1)(W_(w^2+1))*W_w)	
1669	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)(2,1,0)(1,1,1)(2,1,1)	psi(W_(w^2+1)+psi_W_(w^2+1)(W_(w^2+1))*W_(w^2))	psi(W_(w^2+1)+psi_W_(w^2+1)(W_(w^2+1))*W_(w^2))	
1670	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)(2,1,0)(3,1,0)(1,1,1)(2,1,1)	psi(W_(w^2+1)+psi_W_(w^2+1)(W_(w^2+1))*W_(w^2)^W_(w^2))	psi(W_(w^2+1)+psi_W_(w^2+1)(W_(w^2+1))*W_(w^2)^W_(w^2))	
1671	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)(2,1,0)(3,2,0)	psi(W_(w^2+1)+psi_W_(w^2+1)(W_(w^2+1))^2)	psi(W_(w^2+1)+psi_W_(w^2+1)(W_(w^2+1))^2)	
1672	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)(3,0,0)	psi(W_(w^2+1)+psi_W_(w^2+1)(W_(w^2+1))^w)	psi(W_(w^2+1)+psi_W_(w^2+1)(W_(w^2+1))^w)	
1673	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)(3,1,0)	psi(W_(w^2+1)+psi_W_(w^2+1)(W_(w^2+1))^W)	psi(W_(w^2+1)+psi_W_(w^2+1)(W_(w^2+1))^W)	
1674	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)(3,1,0)(1,1,1)(2,1,1)	psi(W_(w^2+1)+psi_W_(w^2+1)(W_(w^2+1))^W_(w^2))	psi(W_(w^2+1)+psi_W_(w^2+1)(W_(w^2+1))^W_(w^2))	
1675	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)(3,1,0)(4,2,0)	psi(W_(w^2+1)+psi_W_(w^2+1)(W_(w^2+1))^psi_W_(w^2+1)(W_(w^2+1)))	psi(W_(w^2+1)+psi_W_(w^2+1)(W_(w^2+1))^psi_W_(w^2+1)(W_(w^2+1)))	
1676	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)(3,2,0)	psi(W_(w^2+1)*2)	psi(W_(w^2+1)*2)	
1677	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)(3,2,0)(3,2,0)	psi(W_(w^2+1)*3)	psi(W_(w^2+1)*3)	
1678	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)(4,0,0)	psi(W_(w^2+1)*w)	psi(W_(w^2+1)*w)	
1679	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)(4,1,0)	psi(W_(w^2+1)*W)	psi(W_(w^2+1)*W)	
1680	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)(4,1,0)(1,1,0)(2,2,1)(3,2,1)(3,2,0)(4,3,0)(5,2,0)	psi(W_(w^2+1)*W_2)	psi(W_(w^2+1)*W_2)	
1681	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)(4,1,0)(1,1,1)	psi(W_(w^2+1)*W_w)	psi(W_(w^2+1)*W_w)	
1682	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)(4,1,0)(1,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,0)(5,3,0)(6,2,0)	psi(W_(w^2+1)*W_(w+1))	psi(W_(w^2+1)*W_(w+1))	
1683	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)(4,1,0)(1,1,1)(2,1,0)(3,2,1)(4,2,1)(4,2,0)(5,3,0)(6,2,0)(3,2,1)	psi(W_(w^2+1)*W_(w2))	psi(W_(w^2+1)*W_(w2))	
1684	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)(4,1,0)(1,1,1)(2,1,1)	psi(W_(w^2+1)*W_(w^2))	psi(W_(w^2+1)*W_(w^2))	
1685	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)(4,1,0)(4,1,0)(1,1,1)(2,1,1)	psi(W_(w^2+1)*W_(w^2)^2)	psi(W_(w^2+1)*W_(w^2)^2)	
1686	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)(4,1,0)(5,1,0)(1,1,1)(2,1,1)	psi(W_(w^2+1)*W_(w^2)^W_(w^2))	psi(W_(w^2+1)*W_(w^2)^W_(w^2))	
1687	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)(4,1,0)(5,2,0)	psi(W_(w^2+1)*psi_W_(w^2+1)(W_(w^2+1)))	psi(W_(w^2+1)*psi_W_(w^2+1)(W_(w^2+1)))	
1688	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)(4,2,0)	psi(W_(w^2+1)^2)	psi(W_(w^2+1)^2)	
1689	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)(4,2,0)(1,1,1)	psi(W_(w^2+1)^2+W_w)	psi(W_(w^2+1)^2+W_w)	
1690	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)(4,2,0)(1,1,1)(2,1,1)	psi(W_(w^2+1)^2+W_(w^2))	psi(W_(w^2+1)^2+W_(w^2))	
1691	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)(4,2,0)(3,2,0)	psi(W_(w^2+1)^2+W_(w^2+1))	psi(W_(w^2+1)^2+W_(w^2+1))	
1692	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)(4,2,0)(3,2,0)(4,2,0)	psi(W_(w^2+1)^2*2)	psi(W_(w^2+1)^2*2)	
1693	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)(4,2,0)(4,1,0)	psi(W_(w^2+1)^2*W)	psi(W_(w^2+1)^2*W)	
1694	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)(4,2,0)(4,1,0)(1,1,1)(2,1,1)	psi(W_(w^2+1)^2*W_(w^2))	psi(W_(w^2+1)^2*W_(w^2))	
1695	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)(4,2,0)(4,2,0)	psi(W_(w^2+1)^3)	psi(W_(w^2+1)^3)	
1696	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)(4,2,0)(4,2,0)(4,2,0)	psi(W_(w^2+1)^4)	psi(W_(w^2+1)^4)	
1697	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)(4,2,0)(5,0,0)	psi(W_(w^2+1)^w)	psi(W_(w^2+1)^w)	
1698	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)(4,2,0)(5,1,0)	psi(W_(w^2+1)^W)	psi(W_(w^2+1)^W)	
1699	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)(4,2,0)(5,1,0)(1,1,1)	psi(W_(w^2+1)^W_w)	psi(W_(w^2+1)^W_w)	
1700	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)(4,2,0)(5,1,0)(1,1,1)(2,1,1)	psi(W_(w^2+1)^W_(w^2))	psi(W_(w^2+1)^W_(w^2))	
1701	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)(4,2,0)(5,2,0)	psi(W_(w^2+1)^W_(w^2+1))	psi(W_(w^2+1)^W_(w^2+1))	
1702	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)(4,2,0)(5,2,0)(6,2,0)	psi(W_(w^2+1)^W_(w^2+1)^W_(w^2+1))	psi(W_(w^2+1)^W_(w^2+1)^W_(w^2+1))	
1703	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)(4,3,0)	psi(W_(w^2+2))	psi(W_(w^2+2))	
1704	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)(4,3,0)(1,1,1)	psi(W_(w^2+2)+W_w)	psi(W_(w^2+2)+W_w)	
1705	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)(4,3,0)(1,1,1)(2,1,1)	psi(W_(w^2+2)+W_(w^2))	psi(W_(w^2+2)+W_(w^2))	
1706	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)(4,3,0)(3,2,0)	psi(W_(w^2+2)+W_(w^2+1))	psi(W_(w^2+2)+W_(w^2+1))	
1707	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)(4,3,0)(4,3,0)	psi(W_(w^2+2)*2)	psi(W_(w^2+2)*2)	
1708	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)(4,3,0)(5,1,0)(1,1,1)(2,1,1)	psi(W_(w^2+2)*W_(w^2))	psi(W_(w^2+2)*W_(w^2))	
1709	(0,0,0)(1,1,1)(2,1,1)(2,1,0)(3,2,0)(4,3,0)(5,3,0)	psi(W_(w^2+2)^2)	psi(W_(w^2+2)^2)	
