row	matrix	label_orig	label_norm	fix
71	(0,0)(1,1)(2,0)(0,0)(1,1)(2,0)	ew*2	ew*2	
72	(0,0)(1,1)(2,0)(1,0)	ew*w = psi(W*w+1)	psi(W*w+1)	alias2
73	(0,0)(1,1)(2,0)(1,0)(2,1)(3,0)	ew^2 = psi(W*w+ew)	psi(W*w+ew)	alias2
74	(0,0)(1,1)(2,0)(1,0)(2,1)(3,0)(2,0)	ew^w = psi(W*w+ew*w)	psi(W*w+ew*w)	alias2
75	(0,0)(1,1)(2,0)(1,0)(2,1)(3,0)(2,0)(3,1)(4,0)	ew^ew = psi(W*w+ew^2)	psi(W*w+ew^2)	alias2
76	(0,0)(1,1)(2,0)(1,1)	e(w+1) = psi(W*w+W)	psi(W*w+W)	alias2
77	(0,0)(1,1)(2,0)(1,1)(1,1)	e(w+2) = psi(W*w+W2)	psi(W*w+W2)	alias2
78	(0,0)(1,1)(2,0)(1,1)(2,0)	e(w2) = psi(W*w2)	psi(W*w2)	alias2
79	(0,0)(1,1)(2,0)(2,0)	e(w^2) = psi(W*w^2) = psi(psi_1(2))	psi(W*w^2)	alias3
80	(0,0)(1,1)(2,0)(3,0)	e(w^w) = psi(W*w^w) = psi(psi_1(w))	psi(W*w^w)	alias3
81	(0,0)(1,1)(2,0)(3,1)	ee0 = psi(W*e0) = psi(psi_1(e0))	psi(W*e0)	alias3
82	(0,0)(1,1)(2,0)(3,1)(1,1)	e(e0+1) = psi(W*e0+W)	psi(W*e0+W)	alias2
83	(0,0)(1,1)(2,0)(3,1)(1,1)(2,0)(3,1)	e(e0*2) = psi(W*e0*2)	psi(W*e0*2)	alias2
84	(0,0)(1,1)(2,0)(3,1)(2,0)	e(e0*w) = psi(W*e0*w)	psi(W*e0*w)	alias2
85	(0,0)(1,1)(2,0)(3,1)(2,0)(3,1)	e(e0^2) = psi(W*e0^2)	psi(W*e0^2)	alias2
86	(0,0)(1,1)(2,0)(3,1)(3,0)	e(e0^w) = psi(W*e0^w)	psi(W*e0^w)	alias2
87	(0,0)(1,1)(2,0)(3,1)(3,0)(4,1)	e(e0^e0) = psi(W*e0^e0)	psi(W*e0^e0)	alias2
88	(0,0)(1,1)(2,0)(3,1)(3,1)	ee1 = psi(W*e1)	psi(W*e1)	alias2
89	(0,0)(1,1)(2,0)(3,1)(4,0)	eew = psi(W*ew)	psi(W*ew)	alias2
90	(0,0)(1,1)(2,0)(3,1)(4,0)(5,1)	eee0 = psi(W*ee0)	psi(W*ee0)	alias2
91	(0,0)(1,1)(2,1)	z0 = psi(W^2) = psi(psi_1(W))	psi(W^2)	alias3
92	(0,0)(1,1)(2,1)(0,0)	z0+1	z0+1	
93	(0,0)(1,1)(2,1)(0,0)(1,1)(2,1)	z0*2	z0*2	
94	(0,0)(1,1)(2,1)(1,0)	z0*w = psi(W^2+1)	psi(W^2+1)	alias2
95	(0,0)(1,1)(2,1)(1,0)(2,1)(3,1)	z0^2 = psi(W^2+z0)	psi(W^2+z0)	alias2
96	(0,0)(1,1)(2,1)(1,0)(2,1)(3,1)(2,0)	z0^w = psi(W^2+z0*w)	psi(W^2+z0*w)	alias2
97	(0,0)(1,1)(2,1)(1,0)(2,1)(3,1)(2,0)(3,1)(4,1)	z0^z0 = psi(W^2+z0^2)	psi(W^2+z0^2)	alias2
98	(0,0)(1,1)(2,1)(1,1)	e(z0+1) = psi(W^2+W)	psi(W^2+W)	alias2
99	(0,0)(1,1)(2,1)(1,1)(1,1)	e(z0+2) = psi(W^2+W2)	psi(W^2+W2)	alias2
100	(0,0)(1,1)(2,1)(1,1)(2,0)	e(z0+w) = psi(W^2+W*w)	psi(W^2+W*w)	alias2
101	(0,0)(1,1)(2,1)(1,1)(2,0)(3,1)	e(z0+e0) = psi(W^2+W*e0)	psi(W^2+W*e0)	alias2
102	(0,0)(1,1)(2,1)(1,1)(2,0)(3,1)(4,1)	e(z0*2) = psi(W^2+W*z0)	psi(W^2+W*z0)	alias2
103	(0,0)(1,1)(2,1)(1,1)(2,0)(3,1)(4,1)(2,0)	e(z0*w) = psi(W^2+W*z0*w)	psi(W^2+W*z0*w)	alias2
104	(0,0)(1,1)(2,1)(1,1)(2,0)(3,1)(4,1)(2,0)(3,1)(4,1)	e(z0^2) = psi(W^2+W*z0^2)	psi(W^2+W*z0^2)	alias2
105	(0,0)(1,1)(2,1)(1,1)(2,0)(3,1)(4,1)(3,0)	e(z0^w) = psi(W^2+W*z0^w)	psi(W^2+W*z0^w)	alias2
106	(0,0)(1,1)(2,1)(1,1)(2,0)(3,1)(4,1)(3,0)(4,1)(5,1)	e(z0^z0) = psi(W^2+W*z0^z0)	psi(W^2+W*z0^z0)	alias2
107	(0,0)(1,1)(2,1)(1,1)(2,0)(3,1)(4,1)(3,1)	ee(z0+1) = psi(W^2+W*e(z0+1))	psi(W^2+W*e(z0+1))	alias2
108	(0,0)(1,1)(2,1)(1,1)(2,1)	z1 = psi(W^2*2)	psi(W^2*2)	alias2
109	(0,0)(1,1)(2,1)(1,1)(2,1)(1,1)(2,1)	z2 = psi(W^2*3)	psi(W^2*3)	alias2
110	(0,0)(1,1)(2,1)(2,0)	zw = psi(W^2*w) = psi(psi_1(W+1))	psi(W^2*w)	alias3
111	(0,0)(1,1)(2,1)(2,0)(2,0)	z(w^2) = psi(W^2*w^2) = psi(psi_1(W+2))	psi(W^2*w^2)	alias3
112	(0,0)(1,1)(2,1)(2,0)(3,0)	z(w^w) = psi(W^2*w^w) = psi(psi_1(W+w))	psi(W^2*w^w)	alias3
113	(0,0)(1,1)(2,1)(2,0)(3,1)	ze0 = psi(W^2*e0) = psi(psi_1(W+e0))	psi(W^2*e0)	alias3
114	(0,0)(1,1)(2,1)(2,0)(3,1)(3,1)	ze1 = psi(W^2*e1)	psi(W^2*e1)	alias2
